time_ms,voltage_mV,input_current_nA,spike
0.0,-70.0,0.0,0.0
0.1,-69.74999863800211,0.5,0.0
0.2,-69.25374711508522,1.49,0.0
0.30000000000000004,-68.26993943037577,1.4602,0.0
0.4,-67.31578909607738,1.4309959999999997,0.0
0.5,-66.39055449728153,2.40237608,0.0
0.6000000000000001,-64.99351067431884,2.8543285583999998,0.0
0.7,-63.39144510973553,3.297241987232,0.0
0.8,-61.59194336996802,3.2312971474873593,0.0
0.9,-59.852365657654495,3.666671204537612,0.0
1.0,-57.92108492644329,3.5933377804468596,0.0
1.1,-56.05510639647634,4.021471024837923,0.0
1.2000000000000002,-54.002193565107945,3.941041604341165,0.0
1.3,-52.017714336061594,3.8622207722543416,0.0
1.4,-50.09556112120148,3.784976356809254,0.0
1.5,-48.22323698971214,3.709276829673069,0.0
1.6,-46.37255163601638,3.6350912930796073,0.0
1.7000000000000002,-44.47570100658012,4.062389467218015,0.0
1.8,-42.102683176509125,3.9811416778736546,1.0
1.9,-65.0,3.9015188443161817,0.0
2.0,-62.974657776704454,3.823488467429858,0.0
2.1,-61.018591355621886,4.247018698081262,0.0
2.2,-58.879938732431526,4.162078324119636,0.0
2.3,-56.81552137107031,4.0788367576372435,0.0
2.4000000000000004,-54.82297354953139,3.997260022484499,0.0
2.5,-52.89933158744037,4.417314822034809,0.0
2.6,-50.79009818082889,5.328968525594114,0.0
2.7,-48.24344072325157,5.222389155082231,0.0
2.8,-45.73621808439325,5.117941371980586,0.0
2.9000000000000004,-43.138050212442195,5.015582544540974,1.0
3.0,-65.0,4.915270893650154,0.0
3.1,-62.56702062955063,4.816965475777151,0.0
3.2,-60.21945957337979,4.720626166261608,0.0
3.3,-57.95497184442348,4.626213642936376,0.0
3.4000000000000004,-55.7710971069233,4.533689370077648,0.0
3.5,-53.66495485383909,4.443015582676095,0.0
3.6,-51.63244536779964,4.354155271022574,0.0
3.7,-49.66622512273977,4.267072165602123,0.0
3.8,-47.75069217806667,4.681730722290081,0.0
3.9000000000000004,-45.59947927908148,4.588096107844279,0.0
4.0,-43.348751715307166,4.496334185687393,0.0
4.1000000000000005,-40.613846962664375,4.9064075019736455,1.0
4.2,-65.0,5.308279351934173,0.0
4.3,-62.468544236128565,5.202113764895489,0.0
4.4,-60.02781316257766,5.098071489597579,0.0
4.5,-57.67529132775821,4.996110059805628,0.0
4.6,-55.40831386816434,4.896187858609515,0.0
4.7,-53.223668493424036,4.798264101437325,0.0
4.800000000000001,-51.11650944270232,4.702298819408579,0.0
4.8999999999999995,-49.07749709136138,4.6082528430204075,0.0
5.0,-47.08541910649336,4.51608778616,0.0
5.1000000000000005,-45.08780335805984,4.425766030436799,0.0
5.2,-42.94411529407314,4.337250709828063,0.0
5.3,-40.20475696802706,4.250505695631502,1.0
5.4,-65.0,4.165495581718873,0.0
5.5,-63.136802972775364,4.082185670084495,0.0
5.6,-61.34279876075134,5.000541956682806,0.0
5.7,-59.11608484210039,4.90053111754915,0.0
5.800000000000001,-56.9721893784001,5.802520495198167,0.0
5.8999999999999995,-54.40848186998237,5.686470085294204,0.0
6.0,-51.93849675985947,5.57274068358832,0.0
6.1000000000000005,-49.553993608272584,5.961285869916554,0.0
6.2,-46.984515513226995,5.842060152518222,0.0
6.3,-44.414840445877715,6.225218949467858,0.0
6.4,-41.337588917820945,6.600714570478502,1.0
6.5,-65.0,6.468700279068932,0.0
6.6,-62.08123237371966,6.839326273487553,0.0
6.7,-59.02039785529312,7.202539748017802,0.0
6.800000000000001,-55.82313635098797,7.058488953057447,0.0
6.9,-52.74408965880166,6.917319173996297,0.0
7.0,-49.77537680824286,7.278972790516372,0.0
7.1000000000000005,-46.64395543166863,7.633393334706044,0.0
7.2,-43.25476448717359,7.480725468011922,1.0
7.3,-65.0,7.331110958651684,0.0
7.4,-61.74636664610984,8.184488739478649,0.0
7.5,-58.11420413888257,8.020798964689076,0.0
7.6,-54.61736454684887,8.360382985395296,0.0
7.7,-51.00016072624279,8.693175325687388,0.0
7.800000000000001,-47.25505163470599,8.519311819173641,0.0
7.9,-43.55234572879434,8.348925582790168,1.0
8.0,-65.0,8.181947071134365,0.0
8.1,-61.41706930222638,8.518308129711679,0.0
8.200000000000001,-57.718946042821756,8.847941967117443,0.0
8.3,-53.91027964586055,9.170983127775095,0.0
8.4,-49.99295153810393,8.987563465219592,0.0
8.5,-46.19958472576376,9.3078121959152,0.0
8.6,-42.13184107791353,9.621655951996896,1.0
8.700000000000001,-65.0,9.42922283295696,0.0
8.8,-60.888891116683,9.24063837629782,0.0
8.9,-56.93285956131088,9.555825608771864,0.0
9.0,-52.877008091968214,9.864709096596425,0.0
9.1,-48.72062016996263,9.667414914664496,0.0
9.2,-44.67472485021716,9.974066616371205,0.0
9.3,-40.16231456483956,9.77458528404378,1.0
9.4,-65.0,10.079093578362906,0.0
9.5,-60.658763425423736,9.877511706795648,0.0
