time_ms,voltage_mV,input_current_nA,spike
0.0,-70.0,0.0,0.0
0.1,-69.74999863800211,0.0,0.0
0.2,-69.50374711508522,0.0,0.0
0.30000000000000004,-69.26118966279523,0.0,0.0
0.4,-69.02227133922285,0.0,0.0
0.5,-68.78693801658382,0.0,0.0
0.6000000000000001,-68.5551363689783,0.0,0.0
0.7,-68.32681386032677,0.0,0.0
0.8,-68.10191873248023,0.0,0.0
0.9,-67.88039999350211,0.0,0.0
1.0,-67.66220740611988,0.0,0.0
1.1,-67.44729147634405,0.0,0.0
1.2000000000000002,-67.23560344225248,0.0,0.0
1.3,-67.02709526293788,0.0,0.0
1.4,-66.82171960761657,0.0,0.0
1.5,-66.61942984489666,0.0,0.0
1.6,-66.42018003220358,0.0,0.0
1.7000000000000002,-66.22392490536129,0.0,0.0
1.8,-66.03061986832748,0.0,0.0
1.9,-65.84022098308087,0.0,0.0
2.0,-65.65268495965917,0.0,0.0
2.1,-65.46796914634592,0.0,0.0
2.2,-65.28603152000478,0.0,0.0
2.3,-65.10683067655962,0.0,0.0
2.4000000000000004,-64.9303258216191,0.0,0.0
2.5,-64.75647676124399,0.0,0.0
2.6,-64.58524389285618,0.0,0.0
2.7,-64.41658819628763,0.0,0.0
2.8,-64.25047122496798,0.0,0.0
2.9000000000000004,-64.08685509724954,0.0,0.0
3.0,-63.92570248786819,0.0,0.0
3.1,-63.76697661953884,0.0,0.0
3.2,-63.61064125468406,0.0,0.0
3.3,-63.45666068729469,0.0,0.0
3.4000000000000004,-63.30499973492085,0.0,0.0
3.5,-63.15562373079207,0.0,0.0
3.6,-63.008498516065366,0.0,0.0
3.7,-62.86359043219942,0.0,0.0
3.8,-62.72086631345401,0.0,0.0
3.9000000000000004,-62.5802934795128,0.0,0.0
4.0,-62.44183972822841,0.0,0.0
4.1000000000000005,-62.30547332848808,0.0,0.0
4.2,-62.17116301319856,0.0,0.0
4.3,-62.038877972388754,0.0,0.0
4.4,-61.90858784642845,0.0,0.0
4.5,-61.78026271936183,0.0,0.0
4.6,-61.653873112353914,0.0,0.0
4.7,-61.52938997724861,0.0,0.0
4.800000000000001,-61.40678469023655,0.0,0.0
4.8999999999999995,-61.28602904563117,0.0,0.0
5.0,-61.167095249751384,0.0,0.0
5.1000000000000005,-61.04995591490907,0.0,0.0
5.2,-60.93458405349977,0.0,0.0
5.3,-60.820953072194825,0.0,0.0
5.4,-60.709036766233176,0.0,0.0
5.5,-60.598809313811124,0.0,0.0
5.6,-60.49024527056825,0.0,0.0
5.7,-60.383319564167685,0.0,0.0
5.800000000000001,-60.278007488968946,0.0,0.0
5.8999999999999995,-60.174284700791574,0.0,0.0
6.0,-60.072127211767636,0.0,0.0
6.1000000000000005,-59.971511385281474,0.0,0.0
6.2,-59.872413930994696,0.0,0.0
6.3,-59.774811899954635,0.0,0.0
6.4,-59.67868267978457,0.0,0.0
6.5,-59.58400398995379,0.0,0.0
6.6,-59.49075387712576,0.0,0.0
6.7,-59.39891071058251,0.0,0.0
6.800000000000001,-59.30845317772371,0.0,0.0
6.9,-59.21936027963833,0.0,0.0
7.0,-59.13161132674748,0.0,0.0
7.1000000000000005,-59.04518593451652,0.0,0.0
7.2,-58.96006401923477,0.0,0.0
7.3,-58.87622579386125,0.0,0.0
7.4,-58.79365176393468,0.0,0.0
7.5,-58.712322723546244,0.0,0.0
7.6,-58.632219751373455,0.0,0.0
7.7,-58.553324206773596,0.0,0.0
7.800000000000001,-58.47561772593526,0.0,0.0
7.9,-58.399082218086455,0.0,0.0
8.0,-58.32369986175787,0.0,0.0
8.1,-58.249453101099874,0.0,0.0
8.200000000000001,-58.17632464225187,0.0,0.0
8.3,-58.104297449762704,0.0,0.0
8.4,-58.033354743060826,0.0,0.0
8.5,-57.96347999297296,0.0,0.0
8.6,-57.89465691829001,0.0,0.0
8.700000000000001,-57.826869482379166,0.0,0.0
8.8,-57.76010188984094,0.0,0.0
8.9,-57.69433858321011,0.0,0.0
9.0,-57.62956423969956,0.0,0.0
9.1,-57.5657637679859,0.0,0.0
9.2,-57.50292230503604,0.0,0.0
9.3,-57.44102521297362,0.0,0.0
9.4,-57.380058075984635,0.0,0.0
9.5,-57.320006697261114,0.0,0.0
9.600000000000001,-57.26085709598232,0.0,0.0
9.7,-57.202595504332486,0.0,0.0
9.799999999999999,-57.14520836455451,0.0,0.0
9.9,-57.08868232603875,0.0,0.0
10.0,-57.03300424244635,0.0,0.0
10.100000000000001,-56.97816116886645,0.0,0.0
10.200000000000001,-56.92414035900661,0.0,0.0
10.3,-56.87092926241598,0.0,0.0
10.4,-56.81851552174055,0.0,0.0
10.5,-56.76688697001007,0.0,0.0
10.6,-56.71603162795601,0.0,0.0
10.700000000000001,-56.66593770136036,0.0,0.0
10.8,-56.6165935784345,0.0,0.0
10.9,-56.567987827227924,0.0,0.0
11.0,-56.52010919306654,0.0,0.0
11.1,-56.4729465960198,0.0,0.0
11.2,-56.42648912839675,0.0,0.0
11.3,-56.38072605227032,0.0,0.0
11.4,-56.335646797029774,0.0,0.0
11.5,-56.29124095696096,0.0,0.0
11.600000000000001,-56.24749828885397,0.0,0.0
11.7,-56.20440870963812,0.0,0.0
11.799999999999999,-56.16196229404394,0.0,0.0
11.9,-56.120149272291854,0.0,0.0
12.0,-56.078960027807476,0.0,0.0
12.100000000000001,-56.03838509496316,0.0,0.0
12.200000000000001,-55.998415156845745,0.0,0.0
12.3,-55.959041043050156,0.0,0.0
12.4,-55.9202537274988,0.0,0.0
12.5,-55.88204432628656,0.0,0.0
