spike_count,mean_firing_rate,spike_count,mean_firing_rate,mean_isi,isi_variability,burstiness,spectral_power,spike_times
48,24.0,48,24.0,41.26595744680851,0.9987382432358577,0.9636504020151746,10400.000000000002,"[  26.1   76.6   86.7  103.5  158.6  176.   194.   209.2  229.3  234.7
  237.   253.1  278.   302.5  432.8  491.1  515.8  537.9  596.7  667.7
  703.5  801.9  837.   841.1  854.2 1061.6 1135.5 1171.8 1186.2 1187.7
 1190.  1253.  1340.2 1365.6 1512.4 1598.8 1603.7 1622.1 1674.6 1693.8
 1768.4 1795.5 1801.4 1810.7 1834.7 1852.4 1921.6 1965.6]"
44,22.0,44,22.0,39.509302325581395,0.9203783130667303,0.9949378758123901,12800.0,"[ 260.9  316.   385.2  413.2  541.7  547.7  555.9  709.8  715.7  734.7
  738.1  795.1  813.5  882.3  951.4  958.1  978.9 1021.  1024.3 1026.7
 1054.6 1102.6 1199.3 1200.7 1201.2 1233.9 1234.1 1293.9 1319.9 1363.1
 1414.4 1453.6 1561.2 1575.1 1577.8 1620.6 1675.4 1771.3 1826.6 1897.5
 1901.1 1922.4 1926.1 1959.8]"
39,19.5,39,19.5,50.492105263157896,1.1830425102704258,0.9980194725987697,10600.0,"[  31.2   34.4   65.5   81.8  105.4  158.8  195.   376.   413.3  518.3
  544.7  565.4  569.2  632.6  666.   695.6  697.8  711.5  731.3  731.4
  738.3  787.6  809.   822.  1093.4 1161.6 1195.5 1240.8 1265.4 1336.
 1494.4 1502.  1704.7 1814.  1842.  1845.5 1894.1 1906.3 1949.9]"
33,16.5,33,16.5,60.29375,1.0370590201852152,0.9966828900726372,7400.0,"[  22.8   30.8  300.1  303.4  488.5  495.2  563.7  616.1  616.3  728.5
  752.8  797.1  897.  1110.6 1125.8 1174.9 1199.3 1227.8 1337.3 1383.3
 1413.4 1436.4 1448.9 1500.2 1515.2 1585.4 1651.2 1670.3 1689.  1708.5
 1838.5 1899.5 1952.2]"
37,18.5,37,18.5,52.16111111111112,1.1078857474913513,0.9654915141347848,7800.0,"[ 118.2  122.3  164.2  218.9  229.3  234.8  269.5  271.6  303.6  337.5
  388.9  420.   661.   677.3  932.2  947.8 1007.7 1020.4 1058.9 1125.3
 1222.5 1259.4 1315.7 1320.7 1399.4 1401.2 1542.5 1630.6 1659.1 1679.5
 1687.4 1775.7 1784.9 1820.1 1824.7 1905.9 1996. ]"
45,22.5,45,22.5,44.52272727272727,1.0348481391748445,0.9416028374525124,9400.0,"[  33.4   95.2  104.4  173.8  245.1  292.8  306.7  333.8  343.7  350.4
  353.   455.   567.2  595.9  602.3  633.1  867.9  871.2  920.2 1020.7
 1082.  1114.6 1147.7 1188.2 1381.8 1434.4 1454.9 1474.  1480.  1521.6
 1563.1 1594.2 1633.8 1642.1 1722.4 1734.6 1755.  1791.  1824.4 1887.4
 1907.9 1917.1 1961.3 1976.1 1992.4]"
34,17.0,34,17.0,56.18181818181819,1.0379075176953008,0.9928802412270512,8800.0,"[  59.5  101.   103.3  124.9  128.3  239.1  326.6  327.   413.6  482.5
  507.6  691.1  739.   752.3  764.5  989.1 1029.  1061.  1103.1 1110.8
 1139.3 1139.8 1192.5 1199.  1220.  1271.2 1365.4 1380.2 1601.7 1636.3
 1755.1 1839.3 1867.3 1913.5]"
42,21.0,42,21.0,48.21951219512196,0.971632271916263,0.9771876378023792,9200.0,"[   5.2   20.9   44.   118.   164.   166.1  177.7  239.8  264.6  289.4
  290.5  355.7  424.4  478.   574.3  648.2  664.9  687.9  721.5  737.8
  770.6  797.4  819.4  837.5  922.1 1003.3 1013.5 1017.5 1100.3 1119.7
 1376.7 1430.1 1443.3 1483.3 1498.5 1660.6 1748.5 1837.6 1876.  1886.1
 1944.1 1982.2]"
50,25.0,50,25.0,39.75918367346939,1.0546588177885734,0.9874242642522386,12400.0,"[  16.4   18.1   24.4   30.6   46.5   48.5  137.4  152.8  164.2  208.
  214.8  233.1  251.1  404.9  580.9  587.5  631.7  681.5  701.7  745.4
  901.1  910.7  911.2  981.5 1007.8 1025.6 1049.4 1059.7 1179.  1179.9
 1182.1 1195.8 1222.6 1314.8 1360.4 1449.1 1462.  1518.4 1526.3 1546.6
 1593.5 1655.9 1700.4 1784.5 1849.  1886.1 1889.3 1914.1 1940.8 1964.6]"
40,20.0,40,20.0,48.223076923076924,0.7359887311091158,0.9875578037354391,10000.0,"[  23.2   86.2  125.7  183.9  227.8  273.9  277.4  333.5  340.1  401.1
  434.8  490.3  610.3  705.4  708.9  746.3  772.6  809.7  819.4  874.6
  967.9  982.1 1026.4 1109.7 1222.9 1261.2 1289.7 1302.  1457.9 1464.4
 1510.2 1510.8 1513.6 1567.1 1614.4 1670.  1716.  1741.5 1791.1 1903.9]"
