time_ms,voltage_mV,input_current_nA,spike
0.0,-65.0,0.0,0.0
0.1,-64.9999889383126,0.0169252595491012,0.0
0.2,-64.99433623399786,0.030998750971655647,0.0
0.30000000000000004,-64.98404886161934,0.03174316350182639,0.0
0.4,-64.97361617296815,0.09032013208444868,0.0
0.5,-64.94376210998236,0.190167727552176,0.0
0.6000000000000001,-64.88092390920957,0.21925653530188735,0.0
0.7,-64.80901750489174,0.2575976405001578,0.0
0.8,-64.72504946559506,0.28965704738205666,0.0
0.9,-64.63123427490227,0.32552119829031306,0.0
1.0,-64.52640213845511,0.34351475179535357,0.0
1.1,-64.41662006322687,0.3703937107834046,0.0
1.2000000000000002,-64.29897575875736,0.3773144197790494,0.0
1.3,-64.18020058224651,0.4099993363246103,0.0
1.4,-64.05171780708622,0.4174393749291196,0.0
1.5,-63.922039422219996,0.4585752123829806,0.0
1.6,-63.77994547259404,0.4388335099574888,0.0
1.7000000000000002,-63.64585252881729,0.4442694089254515,0.0
1.8,-63.51128814915904,0.475952482612266,0.0
1.9,-63.36750799724981,0.5207718044939864,0.0
2.0,-63.21022537213151,0.5762154393888179,0.0
2.1,-63.036033668150665,0.5827990385993501,0.0
2.2,-62.86138836848114,0.5928239064143653,0.0
2.3,-62.685146831998935,0.657583829606083,0.0
2.4000000000000004,-62.4890798728237,0.674108341146383,0.0
2.5,-62.28946370473093,0.7059737512498702,0.0
2.6,-62.08121989930729,0.7357163789547532,0.0
2.7,-61.865141859108505,0.7628549773365865,0.0
2.8,-61.64217538405414,0.8098730638768111,0.0
2.9000000000000004,-61.405762217016544,0.8887718332098421,0.0
3.0,-61.14540892955322,0.8851746378234435,0.0
3.1,-60.888851934679394,0.9496765018285575,0.0
3.2,-60.613352671881046,0.980312289271395,0.0
3.3,-60.330387108571436,0.962989872383347,0.0
3.4000000000000004,-60.056013892262435,1.0277100786321396,0.0
3.5,-59.76279806480711,1.0411575501666186,0.0
3.6,-59.46801529654649,1.0350008028958484,0.0
3.7,-59.17821283267062,1.027368087556491,0.0
3.8,-58.89382978172206,1.0015519549587526,0.0
3.9000000000000004,-58.62086968733578,0.9839102103958905,0.0
4.0,-58.35649055012382,0.9710648651934568,0.0
4.1000000000000005,-58.09900429181137,1.027374526337846,0.0
4.2,-57.825286370593325,1.052501807125274,0.0
4.3,-57.54588442239663,1.0341386879706362,0.0
4.4,-57.275343507051886,1.0056591440587659,0.0
4.5,-57.016940734537656,1.0323408149615176,0.0
4.6,-56.752161873248845,1.09766639930782,0.0
4.7,-56.46817740310403,1.0989065461517757,0.0
4.800000000000001,-56.186521878478224,1.1478317577576507,0.0
4.8999999999999995,-55.89126236358559,1.172672859312473,0.0
5.0,-55.590538017379544,1.1906138643784632,0.0
5.1000000000000005,-55.2866774700427,1.1756506074350024,0.0
5.2,-54.99065050714989,1.21527062348095,0.0
5.3,-54.684158190532784,1.1439114077015065,0.0
5.4,-54.40425225633985,1.1549334776449378,0.0
5.5,-54.12319101460852,1.160919238343341,0.0
5.6,-53.8426201604377,1.1944881494083939,0.0
5.7,-53.55329100764767,1.2011812678127705,0.0
5.800000000000001,-53.264177452569385,1.2095216278782701,0.0
5.8999999999999995,-52.97465796830894,1.221617129262441,0.0
6.0,-52.68340235927427,1.1902346903121106,0.0
6.1000000000000005,-52.40482145694202,1.2304951664722612,0.0
6.2,-52.11483491262162,1.2307740293912233,0.0
6.3,-51.82672792436599,1.1991420524459244,0.0
6.4,-51.55098011623221,1.1763408456144722,0.0
6.5,-51.284414839230685,1.1688990933734804,0.0
6.6,-51.02169374976331,1.1831574233032005,0.0
6.7,-50.75538114201731,1.1688883607179712,0.0
6.800000000000001,-50.49479031527985,1.1484679258392954,0.0
6.9,-50.24171603753425,1.1703869045992183,0.0
7.0,-49.981771449471665,1.2202401974559596,0.0
7.1000000000000005,-49.70536064760029,1.1744130060524285,0.0
7.2,-49.44401055109598,1.156765393621251,0.0
7.3,-49.18793384952412,1.1307681529233253,0.0
7.4,-48.93948886474609,1.1090117053716428,0.0
7.5,-48.696823056688366,1.1254889804565964,0.0
7.6,-48.44672015349693,1.0859468936287149,0.0
7.7,-48.207200855105135,1.1521595161224631,0.0
7.800000000000001,-47.94248715033626,1.1530731149624869,0.0
7.9,-47.67319326299696,1.1562093271315086,0.0
8.0,-47.39749628556115,1.181022509024143,0.0
8.1,-47.106837583957144,1.180022823943019,0.0
8.200000000000001,-46.80793954185007,1.1297607982269058,0.0
8.3,-46.51510211161825,1.1712588856165163,0.0
8.4,-46.195817025694865,1.1494741623087623,0.0
8.5,-45.86722975181243,1.1518353633064302,0.0
8.6,-45.51722981394962,1.1465505388926798,0.0
8.700000000000001,-45.14230450872032,1.14333923329149,0.0
8.8,-44.733425655651345,1.1247172362129232,0.0
8.9,-44.283386011506124,1.1426368908937936,0.0
9.0,-43.76163916184111,1.1533657624938587,0.0
9.1,-43.13763350468648,1.1718461419525912,0.0
9.2,-42.34801750984542,1.15714196307279,0.0
9.3,-41.27191564666161,1.1713878461023914,1.0
9.4,-66.0,1.195375986111081,0.0
9.5,-65.65889622268561,1.216134662091271,0.0
9.600000000000001,-65.31422570884216,1.2086919366855233,0.0
9.7,-64.97542467583473,1.1970363151935268,0.0
9.799999999999999,-64.6438388134292,1.1640540220476574,0.0
9.9,-64.32650491536799,1.1671656188057031,0.0
10.0,-64.01124923496265,1.1905397462486216,0.0
10.100000000000001,-63.69129675201718,1.1389085371116867,0.0
10.200000000000001,-63.391696020792416,1.122602756826968,0.0
10.3,-63.100468400336766,1.084435400855235,0.0
